time	V(rpm)	I(L1)
6.861217137678571e-03	1.415875e+01	1.582596e+00
6.939931423392857e-03	1.452121e+01	1.600874e+00
7.018645709107143e-03	1.488810e+01	1.619144e+00
7.097359994821430e-03	1.525943e+01	1.637407e+00
7.176074280535716e-03	1.563521e+01	1.655662e+00
7.254788566250002e-03	1.601542e+01	1.673909e+00
7.256788566250003e-03	1.602514e+01	1.674372e+00
7.597788566250006e-03	1.772449e+01	1.753330e+00
7.938788566250009e-03	1.950597e+01	1.832145e+00
8.279788566250012e-03	2.136959e+01	1.910817e+00
8.620788566250015e-03	2.331535e+01	1.989346e+00
8.961788566250017e-03	2.534324e+01	2.067732e+00
9.302788566250020e-03	2.745327e+01	2.145975e+00
9.643788566250023e-03	2.964544e+01	2.224074e+00
9.647788566250023e-03	2.967163e+01	2.224990e+00
9.703194775732140e-03	3.003554e+01	2.237806e+00
9.758600985214257e-03	3.040159e+01	2.250532e+00
9.814007194696373e-03	3.076978e+01	2.263167e+00
9.869413404178490e-03	3.114010e+01	2.275711e+00
9.924819613660606e-03	3.151256e+01	2.288165e+00
9.980225823142723e-03	3.188715e+01	2.300528e+00
1.003563203262484e-02	3.226389e+01	2.312800e+00
1.017163203262484e-02	3.319743e+01	2.324436e+00
1.030763203262484e-02	3.413128e+01	2.333224e+00
1.044363203262484e-02	3.506542e+01	2.339165e+00
1.057963203262484e-02	3.599988e+01	2.342258e+00
1.071563203262484e-02	3.693463e+01	2.342503e+00
1.085163203262484e-02	3.786968e+01	2.339901e+00
1.098763203262484e-02	3.880504e+01	2.334451e+00
1.246848917548200e-02	4.888338e+01	2.316958e+00
1.394934631833916e-02	5.882323e+01	2.299692e+00
1.543020346119631e-02	6.862459e+01	2.282656e+00
1.691106060405347e-02	7.828746e+01	2.265848e+00
1.839191774691063e-02	8.781184e+01	2.249269e+00
1.987277488976779e-02	9.719773e+01	2.232919e+00
2.135363203262495e-02	1.064451e+02	2.216798e+00
2.185991774691067e-02	1.095779e+02	2.211343e+00
2.236620346119639e-02	1.126955e+02	2.205914e+00
2.287248917548211e-02	1.157980e+02	2.200512e+00
2.337877488976784e-02	1.188854e+02	2.195136e+00
2.388506060405356e-02	1.219576e+02	2.189787e+00
2.439134631833928e-02	1.250147e+02	2.184464e+00
2.489763203262500e-02	1.280567e+02	2.179167e+00
2.490163203262500e-02	1.280807e+02	2.179125e+00
2.755163203262505e-02	1.437382e+02	2.151862e+00
3.020163203262509e-02	1.590229e+02	2.125248e+00
3.285163203262514e-02	1.739349e+02	2.099283e+00
3.550163203262519e-02	1.884741e+02	2.073967e+00
3.815163203262523e-02	2.026406e+02	2.049301e+00
4.080163203262527e-02	2.164343e+02	2.025283e+00
4.345163203262531e-02	2.298553e+02	2.001914e+00
4.346763203262531e-02	2.299354e+02	2.001775e+00
4.612106060405393e-02	2.430339e+02	1.978967e+00
4.877448917548254e-02	2.558202e+02	1.956704e+00
5.142791774691116e-02	2.682943e+02	1.934984e+00
5.408134631833977e-02	2.804562e+02	1.913807e+00
5.673477488976839e-02	2.923059e+02	1.893174e+00
5.938820346119701e-02	3.038433e+02	1.873085e+00
6.204163203262562e-02	3.150685e+02	1.853540e+00
6.210563203262562e-02	3.153362e+02	1.853074e+00
6.599034631833998e-02	3.312294e+02	1.825400e+00
6.987506060405435e-02	3.465851e+02	1.798663e+00
7.375977488976870e-02	3.614032e+02	1.772861e+00
7.764448917548307e-02	3.756839e+02	1.747995e+00
8.152920346119744e-02	3.894270e+02	1.724066e+00
8.541391774691180e-02	4.026325e+02	1.701072e+00
8.929863203262615e-02	4.153006e+02	1.679014e+00
8.936263203262615e-02	4.155062e+02	1.678656e+00
9.401634631834054e-02	4.300536e+02	1.653326e+00
9.867006060405492e-02	4.440247e+02	1.629000e+00
1.033237748897693e-01	4.574193e+02	1.605677e+00
1.079774891754837e-01	4.702375e+02	1.583357e+00
1.126312034611981e-01	4.824792e+02	1.562042e+00
1.172849177469125e-01	4.941446e+02	1.541730e+00
1.219386320326268e-01	5.052335e+02	1.522422e+00
1.220026320326268e-01	5.053833e+02	1.522161e+00
1.281932034611984e-01	5.193570e+02	1.497830e+00
1.343837748897699e-01	5.326191e+02	1.474738e+00
1.405743463183415e-01	5.451695e+02	1.452885e+00
1.467649177469131e-01	5.570082e+02	1.432271e+00
1.529554891754846e-01	5.681352e+02	1.412897e+00
1.591460606040562e-01	5.785505e+02	1.394761e+00
1.653366320326277e-01	5.882542e+02	1.377865e+00
1.654006320326278e-01	5.883527e+02	1.377694e+00
1.750217748897708e-01	6.022554e+02	1.353486e+00
1.846429177469139e-01	6.151483e+02	1.331037e+00
1.942640606040570e-01	6.270314e+02	1.310346e+00
2.038852034612001e-01	6.379045e+02	1.291413e+00
2.135063463183431e-01	6.477679e+02	1.274239e+00
2.231274891754862e-01	6.566213e+02	1.258823e+00
2.327486320326293e-01	6.644649e+02	1.245166e+00
2.327526320326293e-01	6.644681e+02	1.245160e+00
2.538759177469151e-01	6.789030e+02	1.220026e+00
2.749992034612010e-01	6.915265e+02	1.198046e+00
2.961224891754869e-01	7.023388e+02	1.179220e+00
3.172457748897728e-01	7.113397e+02	1.163547e+00
3.383690606040587e-01	7.185293e+02	1.151028e+00
3.594923463183446e-01	7.239076e+02	1.141664e+00
3.806156320326305e-01	7.274745e+02	1.135453e+00
3.811276320326305e-01	7.275722e+02	1.135283e+00
4.083234891754879e-01	7.317043e+02	1.128088e+00
4.355193463183453e-01	7.352481e+02	1.121918e+00
4.627152034612028e-01	7.382036e+02	1.116771e+00
4.899110606040602e-01	7.405708e+02	1.112650e+00
5.171069177469176e-01	7.423497e+02	1.109552e+00
5.443027748897751e-01	7.435403e+02	1.107479e+00
5.714986320326324e-01	7.441427e+02	1.106430e+00
5.725226320326324e-01	7.441735e+02	1.106376e+00
7.628946320326344e-01	7.467718e+02	1.101852e+00
9.532676320326363e-01	7.471833e+02	1.101136e+00
1.143642632032630e+00	7.472484e+02	1.101022e+00
1.334021632032622e+00	7.472587e+02	1.101004e+00
1.524408632032614e+00	7.472604e+02	1.101002e+00
1.714811632032605e+00	7.472607e+02	1.101001e+00
1.905246632032597e+00	7.472607e+02	1.101001e+00
